#name, A, B, C, D, E, F
NODE_1458, 1.3493589892521418e-07, 4.452509094973297e-09, 2.7402325971088335e-09, 2.8177037944549233e-07, 4.341836426151401e-08, 0.9999995326826157
NODE_1454, 1.3426961384779202e-07, 4.444368831132039e-09, 2.7362474177998435e-09, 2.8001420056147693e-07, 4.32627149197394e-08, 0.9999995352728543
GCA_003036945.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1452, 1.336066392177854e-07, 4.436245186320805e-09, 2.732268885848785e-09, 2.782779270285809e-07, 4.310763223223168e-08, 0.9999995378392874
GCA_003037205.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003036895.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1455, 1.3427290320678996e-07, 4.444385404387406e-09, 2.7362541602875766e-09, 2.8002502628341893e-07, 4.326327686386053e-08, 0.9999995352581541
GCA_003262365.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1369, 1.3427288678804775e-07, 4.4443853505868445e-09, 2.7362541384968484e-09, 2.8002490271254263e-07, 4.326327475679636e-08, 0.9999995352582962
GCA_003262145.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1368, 1.3493257205619544e-07, 4.452490731444131e-09, 2.7402249821995937e-09, 2.817502990654343e-07, 4.341779146125253e-08, 0.9999995327066217
NODE_1366, 1.336098962472846e-07, 4.4362616838002516e-09, 2.732275600908118e-09, 2.782886190730209e-07, 4.310819011141702e-08, 0.9999995378247573
GCA_003262885.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_003262875.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1367, 1.3427287053810577e-07, 4.444385307689757e-09, 2.7362541220327104e-09, 2.8002483529019847e-07, 4.326327270507229e-08, 0.999999535258382
GCA_003038195.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1365, 1.342696134327098e-07, 4.444368822431754e-09, 2.736247413457648e-09, 2.800141424193701e-07, 4.3262714854537795e-08, 0.9999995352729131
GCA_003261875.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1364, 1.3426958125746523e-07, 4.444368737392052e-09, 2.7362473808494883e-09, 2.8001400994525485e-07, 4.326271078224945e-08, 0.9999995352730819
GCA_003262345.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1363, 1.3426632415390417e-07, 4.444352249237606e-09, 2.7362406709862627e-09, 2.800033171155921e-07, 4.326215291768834e-08, 0.9999995352876129
GCA_003263035.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1362, 1.3360662304807399e-07, 4.436245143501532e-09, 2.7322688694082903e-09, 2.7827786002425934e-07, 4.310763018785969e-08, 0.9999995378393728
GCA_003262255.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
GCA_003037045.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_1482, 4.485853090337025e-07, 9.829377730034542e-09, 6.644345701098546e-09, 4.5352414942643346e-07, 1.254120589944239e-05, 0.9999865402109186
NODE_1479, 1.369504801429307e-07, 4.475012673307789e-09, 2.755729393187968e-09, 2.8306633597290967e-07, 8.768092519986164e-08, 0.9999994850715165
NODE_1461, 1.3362138566095873e-07, 4.4363488235035376e-09, 2.7323334172645953e-09, 2.782975142435044e-07, 4.326384673263795e-08, 0.9999995376485712
GCA_003262095.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
GCA_003261695.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_1477, 1.349474643235981e-07, 4.452594746587156e-09, 2.7402897004606413e-09, 2.8177013041298183e-07, 4.357512588126918e-08, 0.999999532514395
NODE_1475, 1.3360997490462642e-07, 4.436262057966244e-09, 2.7322758306938236e-09, 2.7828874401870586e-07, 4.31087435291223e-08, 0.9999995378239998
